timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
12:48:06:297,err,err,err,err,err,err,err,err,err,err
12:48:06:427,10.71190080028134,5.256799964313571,567.393595493532,0.11801010289233528,-0.24358388526929803,0.0006112020950433608,567.5190489945669,7,-14,-1
12:48:06:547,10.669691387569753,5.266452766427328,568.6402596339781,0.1031463057052031,-0.2173737921314334,-0.003105972825386147,568.7647340646614,6,-12,-1
12:48:06:671,10.71190080028134,5.256799964313571,567.393595493532,0.11801010289233528,-0.24358388526929803,0.0006112020950433608,567.5190489945669,7,-14,-1
12:48:06:799,10.53174637120963,5.264683564096243,566.1871996021573,-0.08675588437852072,0.274741314108422,-0.0019153901859786172,566.30961458198,-5,16,-1
12:48:06:916,err,err,err,err,err,err,err,err,err,err
12:48:07:047,err,err,err,err,err,err,err,err,err,err
12:48:07:161,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:07:283,10.69473156725906,5.271358364391485,571.6821712570694,-0.04901675592325523,0.21592494377909513,-0.0040010014868189295,571.8064964964099,-3,12,-1
12:48:07:406,10.782678804151843,5.265928986708843,568.7518905443607,0.09553795897909809,-0.21870931998341359,-0.003400517387156447,568.8784660787144,6,-13,-1
12:48:07:529,10.685054783077884,5.248625745575121,566.1786442700326,0.1356469181551795,-0.21770974786561956,0.0003292319132676747,566.3037839317221,8,-12,-1
12:48:07:658,err,err,err,err,err,err,err,err,err,err
12:48:07:776,10.822807848605992,5.271563866781924,574.9068267067892,0.08101660620841705,-0.1397392138007543,-0.0053722876133219626,575.0328529305083,5,-8,-1
12:48:07:899,err,err,err,err,err,err,err,err,err,err
12:48:08:023,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
